,position,games,mae,avg_score,accuracy_score
Mike Gesicki,TE,5,16.2,2.35,84.82843002368377
Adam Trautman,TE,4,16.25,2.35,84.76752827850025
Justin Fields,QB,6,16.333333333333332,16.614285714285717,84.66590044505206
Romeo Doubs,WR,6,16.333333333333332,12.571428571428571,84.66590044505206
Ollie Gordon II,RB,6,16.333333333333332,3.9125,84.66590044505206
DK Metcalf,WR,6,16.333333333333332,14.728571428571428,84.66590044505206
Chris Brooks,RB,4,16.5,1.1714285714285713,84.46217831427154
Marcus Mariota,QB,3,16.666666666666668,11.14,84.25783789844132
Emari Demercado,RB,3,16.666666666666668,2.716666666666667,84.25783789844132
Kaleb Johnson,RB,3,16.666666666666668,0.9,84.25783789844132
Dylan Sampson,RB,6,16.666666666666668,5.550000000000001,84.25783789844132
Braelon Allen,RB,4,16.75,3.825,84.15543719108474
Antonio Gibson,RB,5,16.8,4.640000000000001,84.09392331588997
George Pickens,WR,7,16.857142857142858,18.4375,84.0235544680081
Pat Freiermuth,TE,5,17.0,6.857142857142857,83.84731947711725
Tyler Higbee,TE,4,17.0,5.183333333333334,83.84731947711725
Ray-Ray McCloud III,WR,3,17.0,3.1,83.84731947711725
Ashton Jeanty,RB,7,17.142857142857142,13.728571428571431,83.67063963137721
Trevor Etienne,RB,5,17.2,1.2625,83.59984371697813
Luke Farrell,TE,5,17.2,2.1,83.59984371697813
Pat Bryant,WR,3,17.333333333333332,2.7,83.43437899288914
AJ Barner,TE,7,17.428571428571427,9.114285714285714,83.31595573197211
Omarion Hampton,RB,5,17.6,15.4,83.10230473242567
Davis Allen,TE,7,17.714285714285715,3.7,82.95952312235758
Brandin Cooks,WR,7,17.714285714285715,3.9875,82.95952312235758
Tommy Tremble,TE,7,17.857142857142858,4.625,82.7806572577472
Justin Jefferson,WR,6,18.0,15.371428571428572,82.60136159561414
Tyrod Taylor,QB,3,18.0,10.033333333333331,82.60136159561414
Quinshon Judkins,RB,6,19.166666666666668,13.8,81.12132228188682
Jalen Nailor,WR,6,19.166666666666668,5.528571428571429,81.12132228188682
Rhamondre Stevenson,RB,7,19.428571428571427,9.35,80.7852767143711
Mason Taylor,TE,7,19.571428571428573,7.65,80.60140433442439
Kimani Vidal,RB,3,19.666666666666668,10.580000000000002,80.47859868510888
Hunter Long,TE,6,19.666666666666668,4.414285714285715,80.47859868510888
Devaughn Vele,WR,3,19.666666666666668,2.128571428571429,80.47859868510888
Zach Charbonnet,RB,6,19.666666666666668,10.016666666666667,80.47859868510888
Jordan Whittington,WR,7,19.714285714285715,3.614285714285714,80.41712887001488
Michael Mayer,TE,4,20.0,5.74,80.0473768503112
Juwan Johnson,TE,7,20.0,9.6,80.0473768503112
Mike Evans,WR,3,20.0,8.5,80.0473768503112
Josh Downs,WR,6,20.166666666666668,9.514285714285716,79.83095376460494
Tyler Allgeier,RB,6,20.33333333333333,7.385714285714286,79.6139934217912
Jeremy Ruckert,TE,4,20.5,3.075,79.39649890835544
Isaac TeSlaa,WR,3,20.666666666666668,2.914285714285714,79.1784732680708
Ray Davis,RB,5,20.8,2.2,79.00367236323117
Kenneth Gainwell,RB,6,21.0,9.928571428571429,78.74084057404556
Michael Wilson,WR,7,21.0,4.942857142857143,78.74084057404556
Mitchell Evans,TE,6,21.0,3.75,78.74084057404556
Jake Tonges,TE,6,21.166666666666668,9.075,78.52123940253355
Ricky Pearsall,WR,4,21.25,13.075,78.41124387791251
Jack Bech,WR,4,21.25,2.042857142857143,78.41124387791251
Tanner Conner,TE,5,21.4,2.2625,78.21292587474765
Joshua Palmer,WR,6,21.5,6.233333333333333,78.08048182116268
Woody Marks,RB,6,21.5,9.842857142857142,78.08048182116268
Marquez Valdes-Scantling,WR,3,21.666666666666668,1.6,77.85933106107024
Jakobi Meyers,WR,6,21.83333333333333,10.316666666666666,77.63766935946568
Olamide Zaccheaus,WR,6,21.83333333333333,6.571428571428571,77.63766935946568
Mark Andrews,TE,6,21.83333333333333,8.171428571428573,77.63766935946568
Stefon Diggs,WR,7,21.857142857142858,11.875,77.60596185240827
Dyami Brown,WR,6,22.0,7.266666666666667,77.41549944975272
Jacory Croskey-Merritt,RB,7,22.0,9.15,77.41549944975272
Jaylin Lane,WR,7,22.142857142857142,3.9875,77.22466565259366
Cooper Kupp,WR,7,22.571428571428573,8.32857142857143,76.64995259197252
Dylan Laube,RB,3,22.666666666666668,0.7571428571428572,76.52179117925621
