RK,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,PROJ,POS_RK,ND,ADD
294,Jeremy Ruckert,NYJ,TE53,253,275,267.3,8.8,0.50,53,#N/A,Jeremy Ruckert
295,Jimmy Horn Jr.,CAR,WR116,174,257,215.5,41.5,#N/A,116,#N/A,Jimmy Horn Jr.
296,Donovan Edwards,WAS,RB91,272,338,289.2,22.7,#N/A,91,#N/A,Donovan Edwards
297,Tanner Conner,MIA,TE54,248,299,269.5,18.5,0.33,54,#N/A,Tanner Conner
298,Van Jefferson,TEN,WR117,235,282,256,19.5,#N/A,117,#N/A,Van Jefferson
299,CeeDee Lamb,DAL,WR118,239,288,256.3,22.4,#N/A,118,#N/A,CeeDee Lamb
300,Ian Thomas,LV,TE55,220,229,224.5,4.5,0.17,55,#N/A,Ian Thomas
301,Arian Smith,NYJ,WR119,233,273,257,17.3,#N/A,119,#N/A,Arian Smith
302,Rasheen Ali,BAL,RB92,267,335,285.4,25.6,#N/A,92,#N/A,Rasheen Ali
303,Zach Wilson,MIA,QB37,153,298,225.5,72.5,0.24,37,#N/A,Zach Wilson
304,Lamar Jackson,BAL,QB38,141,329,260.3,84.7,0.10,38,#N/A,Lamar Jackson
305,Collin Hill,FA,QB39,133,133,133,0,#N/A,39,#N/A,Collin Hill
306,Foster Moreau,NO,TE56,255,297,274,15.1,0.17,56,#N/A,Foster Moreau
307,Tyler Shough,NO,QB40,239,331,286,30.9,#N/A,40,#N/A,Tyler Shough
308,Josh Williams,TB,RB93,271,334,287.2,23.6,#N/A,93,#N/A,Josh Williams
309,Adam Prentice,DEN,RB94,273,327,286.2,20.6,#N/A,94,#N/A,Adam Prentice
310,Andy Dalton,CAR,QB41,142,142,142,0,#N/A,41,#N/A,Andy Dalton
311,Adam Trautman,DEN,TE57,240,298,261.7,25.9,0.17,57,#N/A,Adam Trautman
312,Tyrod Taylor,NYJ,QB42,240,333,288.2,31.9,#N/A,42,#N/A,Tyrod Taylor
313,Jaylen Wright,MIA,RB95,274,336,291,23.2,#N/A,95,#N/A,Jaylen Wright
314,Dante Miller,NYG,RB96,272,342,293,25.2,#N/A,96,#N/A,Dante Miller
315,Elijah Mitchell,KC,RB97,278,339,294,22.7,#N/A,97,#N/A,Elijah Mitchell
316,Jackson Hawes,BUF,TE58,246,306,270.7,25.6,0.09,58,#N/A,Jackson Hawes
317,Beaux Collins,NYG,WR120,234,260,247,13,#N/A,120,#N/A,Beaux Collins
318,Audric Estime,PHI,RB98,280,337,294.8,21.4,#N/A,98,#N/A,Audric Estime
319,Sincere McCormick,SF,RB99,276,340,295.4,23.1,#N/A,99,#N/A,Sincere McCormick
320,Reggie Gilliam,BUF,RB100,268,326,287,22.9,#N/A,100,#N/A,Reggie Gilliam
321,Mitchell Evans,CAR,TE59,261,284,276,10.6,0.08,59,#N/A,Mitchell Evans
322,Savion Williams,GB,WR121,248,264,256,8,#N/A,121,#N/A,Savion Williams
323,Darnell Washington,PIT,TE60,252,265,258.5,6.5,#N/A,60,#N/A,Darnell Washington
324,Ben Sinnott,WAS,TE61,252,314,279.3,25.8,#N/A,61,#N/A,Ben Sinnott
325,Roman Wilson,PIT,WR122,247,271,259,12,#N/A,122,#N/A,Roman Wilson
326,Kylen Granson,PHI,TE62,256,311,281,22.7,#N/A,62,#N/A,Kylen Granson
327,Charlie Kolar,BAL,TE63,260,309,283.7,20,#N/A,63,#N/A,Charlie Kolar
328,KeAndre Lambert-Smith,LAC,WR123,223,308,265.5,42.5,#N/A,123,#N/A,KeAndre Lambert-Smith
329,Tyler Johnson,NYJ,WR124,256,276,266,10,#N/A,124,#N/A,Tyler Johnson
330,Luke Musgrave,GB,TE64,266,270,268,2,#N/A,64,#N/A,Luke Musgrave
331,Tim Patrick,JAC,WR125,238,302,270,32,#N/A,125,#N/A,Tim Patrick
332,Terrance Ferguson,LAR,TE65,263,313,287,20.5,#N/A,65,#N/A,Terrance Ferguson
333,Russell Gage Jr.,SF,WR126,221,221,221,0,#N/A,126,#N/A,Russell Gage Jr.
334,John Metchie III,PHI,WR127,250,294,272,22,#N/A,127,#N/A,John Metchie III
335,Grant Calcaterra,PHI,TE66,265,287,276,11,#N/A,66,#N/A,Grant Calcaterra
336,Tylan Wallace,BAL,WR128,258,295,276.5,18.5,#N/A,128,#N/A,Tylan Wallace
337,MarShawn Lloyd,GB,RB101,277,279,278,1,#N/A,101,#N/A,MarShawn Lloyd
338,Javon Baker,PHI,WR129,241,241,241,0,#N/A,129,#N/A,Javon Baker
339,Jordan James,SF,RB102,279,284,281.5,2.5,#N/A,102,#N/A,Jordan James
340,Christian Watson,GB,WR130,246,246,246,0,#N/A,130,#N/A,Christian Watson
341,Xavier Restrepo,TEN,WR131,248,248,248,0,#N/A,131,#N/A,Xavier Restrepo
342,Joe Milton III,DAL,QB43,278,299,288.5,10.5,#N/A,43,#N/A,Joe Milton III
343,Jimmy Garoppolo,LAR,QB44,286,297,291.5,5.5,#N/A,44,#N/A,Jimmy Garoppolo
344,Russell Wilson,NYG,QB45,294,295,294.5,0.5,#N/A,45,#N/A,Russell Wilson
345,Malik Willis,GB,QB46,273,273,273,0,#N/A,46,#N/A,Malik Willis
346,Mitchell Trubisky,BUF,QB47,274,274,274,0,#N/A,47,#N/A,Mitchell Trubisky
347,Johnny Mundt,JAC,TE67,278,278,278,0,#N/A,67,#N/A,Johnny Mundt
348,Tyrell Shavers,BUF,WR132,281,281,281,0,#N/A,132,#N/A,Tyrell Shavers
349,Tyson Bagent,CHI,QB48,282,282,282,0,#N/A,48,#N/A,Tyson Bagent
350,Ben Skowronek,PIT,WR133,285,285,285,0,#N/A,133,#N/A,Ben Skowronek
351,D'Ernest Johnson,ARI,RB103,285,341,313,28,#N/A,103,#N/A,D'Ernest Johnson
352,Aidan O'Connell,LV,QB49,287,287,287,0,#N/A,49,#N/A,Aidan O'Connell
353,Kyle Trask,FA,QB50,288,288,288,0,#N/A,50,#N/A,Kyle Trask
354,Jarrett Stidham,DEN,QB51,289,289,289,0,#N/A,51,#N/A,Jarrett Stidham
355,Blaine Gabbert,FA,QB52,290,290,290,0,#N/A,52,#N/A,Blaine Gabbert
356,Malik Heath,GB,WR134,290,290,290,0,#N/A,134,#N/A,Malik Heath
357,Joshua Dobbs,NE,QB53,291,291,291,0,#N/A,53,#N/A,Joshua Dobbs
358,Scotty Miller,PIT,WR135,292,292,292,0,#N/A,135,#N/A,Scotty Miller
359,Hendon Hooker,CAR,QB54,292,292,292,0,#N/A,54,#N/A,Hendon Hooker
360,Tanner McKee,PHI,QB55,293,293,293,0,#N/A,55,#N/A,Tanner McKee
361,Casey Washington,ATL,WR136,293,293,293,0,#N/A,136,#N/A,Casey Washington
362,Taylor Heinicke,FA,QB56,295,295,295,0,#N/A,56,#N/A,Taylor Heinicke
363,Nick Mullens,JAC,QB57,297,297,297,0,#N/A,57,#N/A,Nick Mullens
364,Brandon Allen,TEN,QB58,298,298,298,0,#N/A,58,#N/A,Brandon Allen
365,Mason Rudolph,PIT,QB59,299,299,299,0,#N/A,59,#N/A,Mason Rudolph
366,Desmond Ridder,FA,QB60,300,300,300,0,#N/A,60,#N/A,Desmond Ridder
367,Drew Sample,CIN,TE68,301,301,301,0,#N/A,68,#N/A,Drew Sample
368,Kirk Cousins,ATL,QB61,302,302,302,0,#N/A,61,#N/A,Kirk Cousins
369,John Bates,WAS,TE69,303,303,303,0,#N/A,69,#N/A,John Bates
370,Bo Melton,GB,WR137,304,304,304,0,#N/A,137,#N/A,Bo Melton
371,Shedeur Sanders,CLE,QB62,304,304,304,0,#N/A,62,#N/A,Shedeur Sanders
372,Trey Lance,LAC,QB63,305,305,305,0,#N/A,63,#N/A,Trey Lance
373,Jalen Royals,KC,WR138,305,305,305,0,#N/A,138,#N/A,Jalen Royals
374,C.J. Stroud,HOU,QB64,306,306,306,0,#N/A,64,#N/A,C.J. Stroud
375,Carson Wentz,MIN,QB65,307,307,307,0,#N/A,65,#N/A,Carson Wentz
376,Davis Mills,HOU,QB66,308,308,308,0,#N/A,66,#N/A,Davis Mills
377,Brett Rypien,FA,QB67,309,309,309,0,#N/A,67,#N/A,Brett Rypien
378,Kurtis Rourke,SF,QB68,312,312,312,0,#N/A,68,#N/A,Kurtis Rourke
379,J.J. McCarthy,MIN,QB69,314,314,314,0,#N/A,69,#N/A,J.J. McCarthy
380,Quinn Ewers,MIA,QB70,315,315,315,0,#N/A,70,#N/A,Quinn Ewers
381,Devin Leary,FA,QB71,316,316,316,0,#N/A,71,#N/A,Devin Leary
382,Nate Adkins,DEN,TE70,317,317,317,0,#N/A,70,#N/A,Nate Adkins
383,Will Howard,PIT,QB72,317,317,317,0,#N/A,72,#N/A,Will Howard
